"","member_casual","day_of_week","number_of_rides","average_duration"
"1","casual","Sun",278142,3018.11362541436
"2","casual","Mon",162312,2671.79753807482
"3","casual","Tue",159759,2395.19357281906
"4","casual","Wed",166312,2427.54984005965
"5","casual","Thu",174009,2508.58825692924
"6","casual","Fri",226034,2544.15551200262
"7","casual","Sat",355084,2780.0873286321
"8","member","Sun",274162,1082.61911205783
"9","member","Mon",282533,924.920062435185
"10","member","Tue",302256,905.857025170716
"11","member","Wed",318552,922.648707275421
"12","member","Thu",314472,907.23468226106
"13","member","Fri",329548,949.197188269994
"14","member","Sat",334921,1067.39741610708
